Study_Hours,Attendance,Assignment_Score,Previous_Marks,Final_Marks,Status
6.1,76.5,20.3,56.7,56.7,1
6.4,85.7,33.4,48.1,57.4,1
1.3,94.9,77.0,27.5,53.9,1
5.4,46.4,73.3,58.9,60.2,1
6.4,58.0,97.3,93.7,89.6,1
2.9,40.7,80.9,23.2,42.9,1
3.2,99.5,96.1,43.3,71.9,1
4.5,94.9,76.2,36.6,65.7,1
0.2,67.8,43.8,39.1,34.5,0
3.9,88.9,28.4,92.7,65.4,1
2.5,66.5,82.5,57.4,55.1,1
3.9,73.7,71.5,57.3,57.2,1
1.4,36.2,23.9,80.8,38.6,0
10.7,82.9,48.8,32.4,69.9,1
7.1,38.9,96.5,59.0,71.0,1
8.1,87.8,60.0,54.4,73.8,1
9.5,84.7,54.6,67.8,78.5,1
6.0,79.6,56.6,100.0,76.5,1
1.0,32.5,36.7,81.6,44.8,1
6.4,51.2,49.5,51.8,58.9,1
7.0,48.4,49.6,86.2,69.9,1
8.9,55.2,24.2,33.7,54.2,1
5.2,36.1,81.4,22.4,47.2,1
1.5,95.6,53.3,36.4,51.0,1
3.4,68.8,85.8,47.2,56.1,1
4.4,51.4,88.0,60.8,58.7,1
7.8,57.8,37.0,69.2,63.1,1
6.8,61.3,72.6,92.8,81.8,1
4.3,72.0,57.8,60.8,58.5,1
11.8,66.1,90.4,60.1,88.2,1
7.3,94.4,37.3,24.0,58.5,1
2.8,64.8,74.2,22.8,47.3,1
1.2,99.5,68.6,64.1,62.7,1
1.8,89.6,43.6,55.1,51.1,1
3.0,44.6,30.9,87.1,53.7,1
1.9,95.1,72.1,32.9,58.4,1
2.2,38.1,79.1,22.0,37.6,0
3.4,87.2,45.3,55.9,56.7,1
2.1,56.6,71.6,39.0,49.9,1
10.8,91.5,51.6,24.0,73.8,1
1.0,90.8,77.1,78.0,66.1,1
6.3,86.4,35.9,28.9,51.9,1
4.9,85.3,91.2,68.7,80.3,1
11.8,51.3,43.0,42.5,64.4,1
1.3,35.7,49.4,33.9,31.1,0
4.8,58.2,24.6,50.4,45.8,1
11.6,42.1,28.9,84.1,77.7,1
10.4,78.6,61.3,51.4,77.5,1
9.8,54.2,41.4,80.1,71.2,1
3.1,98.3,86.8,30.0,61.6,1
2.1,74.9,21.2,81.8,49.2,1
8.0,87.6,50.3,39.0,63.3,1
11.2,39.3,47.0,74.2,76.6,1
6.7,90.3,21.5,65.3,62.0,1
6.9,94.6,29.9,94.3,85.6,1
3.4,64.1,53.1,51.0,53.2,1
9.2,72.4,59.4,25.3,66.4,1
2.2,83.5,52.3,21.5,41.6,1
3.9,42.2,62.5,86.1,64.8,1
5.1,65.2,67.6,62.0,59.8,1
6.1,57.9,20.8,82.0,57.7,1
2.9,40.2,57.1,38.8,43.6,1
1.4,55.7,97.1,47.6,59.9,1
7.3,34.8,61.5,22.4,47.5,1
3.5,31.8,74.2,96.9,67.1,1
7.0,39.5,44.9,73.4,61.0,1
1.9,97.4,81.9,94.7,77.2,1
5.8,68.5,81.8,41.2,64.7,1
6.4,97.6,61.7,68.9,75.3,1
0.6,60.3,98.1,74.3,63.2,1
4.0,51.8,30.0,45.4,42.1,1
1.6,65.4,21.4,87.8,51.5,1
0.8,60.8,81.6,95.8,67.5,1
11.9,37.4,84.6,90.8,93.8,1
3.9,74.9,29.6,79.1,56.4,1
9.7,45.1,41.2,42.2,58.4,1
3.1,73.4,21.4,42.5,42.4,1
8.2,75.5,43.5,97.1,86.9,1
9.1,40.6,81.9,20.8,61.6,1
7.1,34.3,61.4,77.3,68.6,1
5.7,84.7,47.8,76.5,64.8,1
4.9,62.2,49.7,69.8,60.5,1
4.2,34.1,20.1,99.2,55.0,1
11.2,99.6,44.0,45.0,76.1,1
10.0,34.0,71.7,47.2,66.0,1
11.6,78.7,97.9,26.3,87.7,1
1.5,98.9,87.8,55.4,68.0,1
8.8,46.7,21.9,40.9,53.1,1
11.3,40.0,91.9,47.5,77.0,1
2.2,38.5,82.7,86.8,64.2,1
0.8,51.2,82.4,94.8,66.4,1
8.9,37.1,56.6,34.9,58.3,1
6.9,78.5,51.8,49.8,59.0,1
10.1,34.4,44.2,94.3,77.3,1
1.7,65.7,25.3,24.9,31.6,0
9.5,99.8,38.3,27.4,69.8,1
2.4,87.0,39.7,33.0,38.8,0
2.0,73.1,58.7,67.6,54.9,1
2.0,51.4,79.8,32.0,45.9,1
9.8,73.7,57.9,97.4,92.9,1
8.0,66.9,24.6,55.7,61.1,1
6.3,59.8,96.6,60.1,76.8,1
4.3,39.1,95.4,39.7,57.1,1
10.5,92.1,82.8,57.7,85.2,1
4.7,61.5,99.3,73.0,74.7,1
9.8,43.6,63.6,80.1,79.6,1
5.3,55.7,97.0,80.3,81.3,1
4.5,59.0,26.0,66.2,53.1,1
5.6,87.9,49.3,92.3,78.8,1
3.6,81.4,38.0,85.4,66.8,1
9.0,83.9,35.7,80.6,74.5,1
6.0,30.8,31.3,24.4,38.5,0
2.8,59.1,69.8,20.6,47.7,1
10.8,63.7,82.5,37.0,73.4,1
4.6,31.3,66.3,73.1,62.2,1
6.5,48.2,31.8,52.9,51.6,1
10.9,83.2,84.9,52.2,88.4,1
7.5,39.6,70.9,90.8,75.1,1
1.4,67.5,51.1,91.6,63.3,1
11.3,45.1,73.9,92.7,90.2,1
7.5,30.8,40.8,45.1,48.2,1
4.0,46.9,47.6,75.3,56.1,1
1.7,98.3,93.4,41.7,68.9,1
9.5,86.1,43.2,35.2,64.1,1
7.4,97.2,57.6,34.8,65.1,1
6.4,64.1,91.2,47.4,71.2,1
10.7,37.7,76.6,54.4,73.9,1
9.5,68.4,25.0,86.5,78.7,1
1.8,61.8,31.8,29.6,36.8,0
3.7,89.1,20.6,78.8,57.3,1
3.0,36.9,70.5,62.5,57.0,1
8.9,64.2,55.8,43.0,66.1,1
0.4,40.5,30.7,59.4,33.9,0
6.8,52.7,96.6,44.0,66.7,1
9.1,81.6,62.4,67.7,78.1,1
10.5,63.3,39.4,54.7,68.6,1
4.1,56.3,60.0,33.2,50.5,1
9.9,57.6,74.4,29.3,68.6,1
1.3,62.2,26.1,63.7,39.0,0
10.2,85.0,42.0,92.2,89.0,1
1.5,92.4,84.6,47.5,63.0,1
4.8,96.9,56.8,78.6,77.8,1
9.6,85.1,63.7,72.7,84.7,1
1.8,52.1,54.6,94.5,63.5,1
2.8,78.2,23.5,85.7,59.3,1
8.7,60.6,33.3,65.3,66.1,1
8.6,47.8,55.6,72.6,73.4,1
7.7,88.9,36.7,91.9,77.5,1
8.3,32.7,24.0,52.0,51.4,1
6.5,93.1,87.5,46.1,74.3,1
3.0,62.3,98.5,20.9,56.1,1
4.1,74.6,83.5,86.1,80.7,1
2.2,76.2,88.3,84.1,67.4,1
10.9,92.7,39.4,28.4,65.5,1
7.0,74.6,96.9,66.1,81.2,1
4.8,73.0,35.8,57.1,56.9,1
5.5,34.7,96.1,29.5,60.2,1
11.4,66.3,99.6,98.4,100.0,1
1.8,40.5,76.9,37.2,43.1,1
7.0,81.6,98.5,25.4,68.8,1
6.1,65.9,65.6,67.6,68.7,1
7.3,77.6,40.8,79.1,68.6,1
0.2,32.9,55.0,22.6,33.2,0
10.5,35.9,67.5,72.7,77.6,1
11.2,80.1,25.8,62.6,72.3,1
6.8,35.0,69.8,28.3,51.1,1
8.4,35.0,98.5,33.8,68.8,1
11.1,30.8,35.2,65.4,66.1,1
8.5,97.0,83.4,43.7,83.8,1
1.8,81.6,92.6,95.1,80.8,1
6.9,54.7,95.5,85.5,85.7,1
7.3,50.8,96.8,98.7,96.8,1
5.1,54.5,61.7,40.8,53.4,1
8.8,84.2,98.2,97.6,100.0,1
11.2,76.3,80.6,54.5,82.8,1
11.1,43.0,32.9,47.8,64.3,1
5.4,42.2,58.2,24.0,46.7,1
1.4,36.9,77.5,24.2,33.2,0
11.8,76.2,39.8,75.4,87.1,1
10.1,83.5,71.2,56.6,83.9,1
1.5,48.6,73.3,38.1,42.8,1
11.1,31.5,33.0,69.1,64.6,1
10.4,35.8,65.2,40.2,66.7,1
6.2,97.8,81.7,66.2,81.1,1
7.1,50.7,59.9,48.7,61.2,1
4.8,83.8,21.0,85.9,66.1,1
0.7,73.7,20.7,85.7,52.8,1
4.0,56.7,48.6,58.2,56.2,1
9.6,44.4,94.1,48.1,79.2,1
0.1,38.5,38.3,49.0,29.5,0
4.0,73.1,70.7,84.5,72.6,1
4.8,84.2,37.8,46.3,58.1,1
6.4,75.1,45.7,36.7,64.0,1
11.0,67.1,87.8,26.8,72.6,1
4.2,32.9,78.3,57.3,56.0,1
4.2,97.8,27.6,58.6,53.9,1
8.9,85.9,54.3,87.3,88.0,1
5.4,50.5,22.3,37.7,41.4,1
2.7,98.6,58.5,50.5,65.1,1
5.4,72.1,73.0,84.7,71.9,1
1.7,70.8,29.5,85.9,52.0,1
2.1,82.4,43.1,50.8,47.4,1
6.0,86.8,51.8,56.7,59.7,1
5.0,76.0,93.6,44.3,71.3,1
11.0,39.0,99.5,94.6,94.7,1
4.3,53.7,23.6,29.5,38.2,0
7.0,95.0,80.9,94.7,89.6,1
7.6,45.7,49.7,74.7,65.2,1
0.2,56.1,51.4,62.5,47.4,1
8.0,60.2,80.3,22.6,62.9,1
2.1,60.8,93.5,58.0,60.0,1
11.5,72.9,96.1,52.6,90.8,1
1.8,96.0,66.2,32.9,53.8,1
5.0,46.8,48.6,72.5,58.9,1
1.0,38.5,83.0,97.7,61.3,1
12.0,43.8,40.1,65.0,74.4,1
6.0,92.1,65.1,77.2,71.6,1
7.1,75.2,48.7,25.5,54.0,1
0.8,50.0,72.5,53.4,45.3,1
9.0,87.1,39.2,29.3,63.7,1
2.5,90.3,35.3,69.0,58.0,1
10.8,89.3,93.5,95.1,96.5,1
2.5,94.3,28.1,72.9,55.5,1
2.3,47.7,60.5,26.1,39.6,0
0.4,82.9,37.7,48.4,41.6,1
5.7,62.2,23.1,64.1,52.4,1
6.8,88.9,22.9,52.3,57.6,1
0.8,81.0,34.0,86.7,58.7,1
9.3,84.4,89.3,85.2,94.5,1
5.4,75.9,42.6,68.9,62.1,1
6.3,42.4,96.0,49.9,74.1,1
5.3,68.2,66.5,40.4,54.2,1
4.8,98.9,54.9,28.5,54.4,1
6.7,95.6,66.4,48.4,74.7,1
1.9,33.0,61.3,53.1,41.6,1
2.2,41.5,80.7,74.1,56.2,1
10.3,39.2,42.6,72.7,68.3,1
11.4,80.8,48.2,25.6,68.2,1
4.5,87.2,91.5,51.6,75.8,1
3.2,44.9,95.7,34.5,57.7,1
7.7,65.4,91.4,32.5,73.3,1
4.9,88.8,53.6,86.2,71.7,1
0.3,81.3,82.4,23.4,41.9,1
1.9,68.0,58.1,53.5,42.5,1
8.6,71.3,59.8,33.5,62.1,1
7.9,65.6,36.4,90.3,78.6,1
0.3,50.8,67.3,64.6,48.6,1
2.7,69.6,34.9,38.5,41.4,1
2.8,78.2,46.5,60.2,53.3,1
8.1,91.1,88.4,78.5,88.5,1
0.2,74.5,36.6,96.6,58.2,1
1.2,83.3,25.7,37.6,39.9,0
9.6,41.2,25.5,90.9,69.7,1
2.1,62.3,95.3,94.7,78.7,1
7.8,30.7,60.6,93.3,78.3,1
2.9,47.3,52.8,70.8,51.1,1
1.2,80.9,84.9,70.4,63.7,1
2.9,99.4,86.9,52.3,75.8,1
8.7,36.9,46.6,80.2,68.0,1
10.3,58.1,75.5,62.5,80.0,1
10.0,86.0,81.7,74.2,86.9,1
4.8,44.3,72.4,54.3,57.5,1
8.0,68.9,32.1,78.5,69.8,1
2.5,81.3,90.1,86.0,79.2,1
3.5,73.1,63.1,31.7,47.6,1
10.8,43.2,42.6,86.6,81.0,1
0.2,54.9,54.0,63.2,47.6,1
1.0,84.9,23.0,87.6,57.1,1
2.5,68.8,30.2,54.5,47.3,1
0.3,30.4,81.2,50.3,41.8,1
2.2,83.3,20.0,93.2,61.8,1
7.0,32.5,53.3,40.1,52.8,1
5.1,82.2,61.8,87.5,74.4,1
10.7,44.2,24.4,58.7,64.4,1
9.8,97.1,97.8,61.1,94.2,1
4.1,55.8,38.1,44.7,44.4,1
3.1,52.9,44.3,65.8,50.9,1
4.6,40.4,44.3,46.0,46.9,1
7.1,51.4,38.4,23.1,44.4,1
3.2,91.4,20.1,41.8,50.8,1
7.5,99.7,78.3,20.5,71.8,1
4.9,55.8,97.3,98.3,84.5,1
6.6,61.4,37.9,97.3,70.3,1
5.2,80.5,73.0,51.6,64.7,1
3.5,92.0,79.4,78.3,73.9,1
11.4,71.5,87.9,47.7,83.9,1
9.2,57.4,53.8,73.7,72.7,1
1.7,58.9,44.2,84.4,48.0,1
10.4,78.7,46.0,95.7,89.2,1
5.8,30.2,77.0,52.0,57.1,1
10.7,73.4,85.3,82.7,93.5,1
9.6,54.9,34.5,41.3,58.1,1
5.1,85.6,49.7,99.2,82.3,1
0.3,36.5,92.2,22.1,36.0,0
3.2,71.2,84.5,68.3,68.5,1
6.5,63.7,98.8,72.8,80.5,1
7.6,75.0,80.3,75.0,81.8,1
3.1,34.5,51.5,29.6,37.8,0
1.7,70.6,67.3,95.1,71.2,1
10.0,69.3,72.9,34.5,70.5,1
11.8,69.2,26.3,69.8,72.9,1
6.3,72.2,63.6,37.8,63.5,1
2.1,77.4,76.7,44.6,53.7,1
3.3,86.3,33.4,63.7,54.8,1
0.2,48.9,82.5,53.4,50.1,1
11.0,87.8,66.7,32.8,73.3,1
1.4,64.9,96.2,33.7,55.7,1
6.9,35.4,23.4,53.5,47.6,1
3.3,34.1,41.2,80.6,50.5,1
6.7,53.4,68.1,91.8,78.7,1
7.8,84.9,43.7,26.7,54.9,1
10.0,79.5,77.2,51.4,77.6,1
2.5,85.2,80.7,28.0,56.2,1
0.1,66.2,28.2,21.3,29.3,0
1.6,60.8,61.1,72.9,53.9,1
10.8,40.3,60.7,68.2,75.6,1
10.5,53.0,49.5,33.0,62.6,1
7.2,60.4,94.6,38.7,74.5,1
7.2,36.2,86.2,21.9,55.8,1
8.0,45.4,75.8,86.8,81.8,1
2.1,71.9,77.1,98.0,76.0,1
11.0,81.5,56.9,30.8,69.7,1
5.0,99.9,93.7,38.5,79.4,1
4.6,95.3,75.6,89.5,81.3,1
6.2,75.0,78.3,94.1,88.9,1
0.6,59.5,88.9,53.6,50.9,1
2.0,74.5,41.9,24.0,37.8,0
8.9,85.0,84.6,23.2,66.0,1
1.0,38.3,35.6,65.9,38.1,0
7.2,58.7,47.6,51.4,57.5,1
2.9,88.8,46.8,22.3,43.2,1
4.7,56.9,98.3,66.7,72.1,1
3.5,70.0,88.5,20.9,54.8,1
4.3,71.1,76.1,83.0,71.0,1
8.6,42.9,78.2,44.5,67.3,1
3.6,55.4,65.0,23.2,41.9,1
6.8,53.4,95.8,67.1,75.3,1
5.7,31.8,59.7,51.8,57.9,1
8.0,31.7,50.4,97.9,73.6,1
11.2,88.2,33.0,63.5,81.7,1
8.8,49.1,82.9,42.0,68.0,1
2.6,66.3,78.8,76.8,63.5,1
0.4,50.9,50.7,41.7,39.1,0
3.1,95.8,22.0,92.3,71.7,1
7.1,48.2,87.1,50.0,66.8,1
0.6,60.1,20.9,64.0,37.3,0
6.0,91.1,76.3,24.0,64.6,1
7.2,88.9,97.6,54.1,83.0,1
4.0,43.0,55.0,86.6,66.2,1
9.3,86.2,38.8,84.5,79.1,1
1.3,62.1,76.4,37.9,48.2,1
0.9,63.8,85.4,38.1,52.2,1
8.7,39.3,63.7,85.4,79.7,1
5.9,35.6,97.4,94.4,84.8,1
8.3,81.0,24.1,27.6,50.7,1
5.2,64.8,60.4,56.0,53.4,1
3.0,60.6,77.5,47.0,55.1,1
9.8,81.1,89.0,89.7,97.6,1
9.6,83.6,34.3,26.7,59.8,1
8.3,41.1,84.0,36.9,65.1,1
3.3,72.7,64.2,80.2,64.0,1
7.1,39.5,51.7,24.1,51.4,1
4.3,82.6,30.5,59.4,54.8,1
1.1,76.0,89.2,55.4,55.4,1
11.0,97.0,32.6,46.8,79.0,1
1.6,34.8,44.8,51.6,37.8,0
11.4,34.0,43.2,62.4,70.7,1
5.4,49.8,89.7,32.9,56.6,1
